1,"’d bòtt","NOUN","Nella locuzione ""di colpo"""
2,"’d cò","NOUN","Nella locuzione ""alla fine"""
3,"’d lóngh","ADV",
4,"’daviz","NOUN","Nella locuzione ""del parere"""
5,"’dsadésa","ADV",
6,"’dsadésa","ADV",
7,"’dsôra","ADV",
8,"’dsorapú","ADV",
9,"’n","DET",
10,"’n","NUM",
11,"’na","DET",
12,"’na","NUM",
13,"’st","PRON",
14,"(a la) spìccia","ADV",
15,"(a la) zbaraja","NOUN","Nella locuzione ""allo sbaraglio"""
16,"(a) brasètt","NOUN","Nella locuzione ""a braccetto"""
17,"(a) comasón","NOUN","Nella locuzione ""a rotoli"""
18,"(a) ombrazén","NOUN","Nella locuzione ""a ponente"""
19,"(a) piazimént","NOUN","Nella locuzione ""a piacimento"""
20,"(a) piètt","NOUN","Nella locuzione ""alla rinfusa"""
21,"(a) strasamarcä","NOUN","Nella locuzione ""a prezzo bassissimo"""
22,"(a) ùff","NOUN","Nella locuzione ""a sbafo"""
23,"(al) mônt","NOUN",
24,"(i) ligadôr","NOUN","Voce gergale"
25,"(in) dòvva","ADV",
26,"(in) squìnci","ADJ",
27,"a l’ ingròsa","NOUN","Nella locuzione ""all'ingrosso"""
28,"a la","ADP",
29,"a la pu buzarón’na","ADV","Nella locuzione ""alla peggio"""
30,"a maca","ADV",
31,"a malapén’na","ADV",
32,"abadär","VERB",
33,"abàs","ADV",
34,"abasäros","VERB",
35,"abàsta","ADV",
36,"abelimént","NOUN",
37,"abilitä","NOUN",
38,"abit","NOUN",
39,"abituäres","VERB",
40,"abolír","VERB",
41,"abolisión","NOUN",
42,"abonäres","VERB",
43,"abonôra","ADJ",
44,"abòtta","ADV",
45,"abrasär","VERB",
46,"abreviär","VERB",
47,"abúz","NOUN",
48,"abuzär","VERB",
49,"abuziv","ADJ",
50,"acàder","VERB",
51,"acanimént","NOUN",
52,"acanires","VERB",
53,"acetär","VERB",
54,"aclamasión","NOUN",
55,"acoliénsa","NOUN",
56,"acopär","VERB",
57,"acorär","VERB",
58,"acordäros","VERB",
59,"acòrdi","NOUN",
60,"acòrt","ADJ",
61,"acòrzors","VERB",
62,"acòst","ADJ",
63,"acostär","VERB",
64,"acostärs","VERB",
65,"acquéri","NOUN",
66,"acquètta","NOUN",
67,"acquìst","NOUN",
68,"acsí","ADV",
69,"acuza","NOUN",
70,"acuzär","VERB",
71,"adacquär","VERB",
72,"adanä","ADJ",
73,"adärs","VERB",
74,"adatärs","VERB",
75,"adäzi","ADV",
76,"adés","ADV",
77,"adésa","ADV",
78,"adesadesa","ADV",
79,"adío","INTJ",
80,"adormìros","VERB",
81,"adòs","ADV",
82,"adosäros","VERB",
83,"adotär","VERB",
84,"adrè","ADV",
85,"adsadésa","ADJ",
86,"afamär","VERB",
87,"afanärs","VERB",
88,"afarètt","NOUN","Modesto"
89,"afäri","NOUN",
90,"afradläros","VERB",
91,"afrónt","NOUN",
92,"àg’","NOUN",
93,"agh","PRON",
94,"ägher","ADJ",
95,"ägherfôj","NOUN",
96,"agòst","NOUN",
97,"agravär","VERB",
98,"agrumä","ADJ",
99,"agusén","NOUN",
100,"agúss","ADJ",
101,"aguvi","ADJ",
102,"ahn? an?","ADV",
103,"ai","ADP",
104,"àj","NOUN",
105,"ajutär","VERB",
106,"ajùtt","NOUN",
107,"al","ADP",
108,"al","PRON",
109,"äla","NOUN",
110,"älbi","NOUN","Di cemento"
111,"älbor","NOUN",
112,"alcär","VERB",
113,"alcón","NOUN",
114,"alégor","ADJ",
115,"alegrìa","NOUN",
116,"alètti","NOUN","Dei berretti"
117,"algnàm","NOUN",
118,"algnär","VERB",
119,"algnära","NOUN",
120,"alión","NOUN",
121,"alma","NOUN",
122,"alòg","NOUN",
123,"alogiär","VERB",
124,"alóra","ADV",
125,"älpa","NOUN","Voce gergale antiquata"
126,"alsär","VERB",
127,"alsía","NOUN",
128,"ält","ADJ",
129,"altarén","NOUN",
130,"altäri","NOUN",
131,"altéra","NOUN","Del letto"
132,"altolà","NOUN","Esclamazione"
133,"alvadôr","NOUN",
134,"alvär","VERB",
135,"alzrír","VERB",
136,"alzú","ADJ",
137,"am","PRON",
138,"amandla","NOUN",
139,"amant","NOUN",
140,"amär","VERB",
141,"amasär","VERB",
142,"ambètt","NOUN",
143,"ambìggov","ADJ",
144,"ambisión","NOUN",
145,"americanäda","NOUN",
146,"amicìssia","NOUN",
147,"amiga","NOUN",
148,"amigh","NOUN",
149,"amigón","NOUN",
150,"amôr","NOUN",
151,"ampolén’na","NOUN",
152,"ampolôz","ADJ",
153,"an","NOUN",
154,"an’","ADV",
155,"an’mi","ADV",
156,"anäda","NOUN",
157,"ànca","ADV",
158,"ancòrra","ADV",
159,"andär a bisabóga","VERB","Come una biscia, qua e là"
160,"àndi","NOUN",
161,"anél","NOUN",
162,"angär","VERB",
163,"angaría","NOUN",
164,"ànim","NOUN",
165,"anma","NOUN",
166,"anojär","VERB",
167,"ansiôz","ADJ",
168,"anticàmra","NOUN",
169,"antigh","ADJ",
170,"antipatich","ADJ",
171,"anvél","ADJ",
172,"anvôd","NOUN",
173,"anvôda","NOUN",
174,"aparensa","NOUN",
175,"apastär","VERB","Riferito agli animali"
176,"apazärs","VERB",
177,"apelärs","VERB",
178,"apén’na","ADV",
179,"apiä","ADJ",
180,"apicä","ADJ",
181,"apiètt","ADV","Come viene"
182,"apìlli","NOUN",
183,"apóg’","NOUN",
184,"apónt","ADV",
185,"apontamént","NOUN",
186,"apòsta","ADV",
187,"aprension","NOUN",
188,"aprésa","ADV",
189,"aptìtt","NOUN",
190,"arabires","VERB",
191,"arabírs","VERB",
192,"arans","ADJ",
193,"aräz","NOUN",
194,"arbaltär","VERB",
195,"arbator","VERB",
196,"arbecär","VERB",
197,"arbómb","NOUN",
198,"arbúff","NOUN",
199,"ärca","NOUN",
200,"arcbaléstor","NOUN",
201,"arciàm","NOUN",
202,"arcmandär","VERB",
203,"arcòjor","VERB",
204,"arcòrd","NOUN",
205,"ardéla","NOUN","Per animali"
206,"ardinsär","VERB",
207,"ardòppi","NOUN",
208,"arduzíres","VERB",
209,"arfäros","VERB",
210,"arfiadär","VERB",
211,"arfilär","VERB",
212,"arfiolär","VERB","Un altro figlio"
213,"arfiùt","NOUN",
214,"arfiutäros","VERB",
215,"arfóndor","VERB",
216,"arfug’","NOUN",
217,"argáster","NOUN",
218,"argént","NOUN",
219,"argh’gnäres","VERB",
220,"argintér","NOUN",
221,"argiolír","VERB","Un aspetto sano"
222,"argôj","NOUN",
223,"argomént","NOUN",
224,"arioso","ADJ",
225,"ariôz","ADJ",
226,"arisadùra","NOUN",
227,"arisär","VERB",
228,"aristocratich","NOUN",
229,"ariusìr","VERB",
230,"arív","NOUN",
231,"arivär","VERB",
232,"arízga","NOUN","Nella locuzione ""a rischio"""
233,"arlía","NOUN",
234,"arlichén","ADJ",
235,"arlichinäda","NOUN",
236,"arliôz","ADJ",
237,"arlôj","NOUN",
238,"armàgner","VERB",
239,"armäri","NOUN",
240,"armarôl","NOUN",
241,"armazúlli","NOUN",
242,"armediär","VERB",
243,"armeritär","VERB",
244,"armes’ciansa","NOUN",
245,"armes’ciärs","VERB",
246,"armèttor","VERB",
247,"armèttors","VERB","In sesto"
248,"ärmi","NOUN",
249,"armìssa","NOUN",
250,"armistìssi","NOUN",
251,"armondadura","NOUN",
252,"armondär","VERB",
253,"armonta","NOUN",
254,"armontär","VERB",
255,"armôr","NOUN",
256,"arnàser","VERB",
257,"arnéz","NOUN",
258,"arnòch","ADJ",
259,"arnonsiär","VERB",
260,"arnovär","VERB",
261,"arost","NOUN",
262,"arparär","VERB",
263,"arparéla","NOUN",
264,"arpés","NOUN",
265,"arpía","NOUN",
266,"arpìcch","NOUN",
267,"arpiumärs","VERB",
268,"arportär","VERB",
269,"arpóz","NOUN",
270,"arpsär","VERB",
271,"ärs","ADJ",
272,"arscaldäros","VERB",
273,"arsi","X",
274,"arsolär","VERB",
275,"arsôr","NOUN",
276,"arsoräres","VERB",
277,"arsorärs","VERB",
278,"ärta","NOUN",
279,"artaj","NOUN",
280,"artajär","VERB",
281,"arténzer","VERB",
282,"artìccol","NOUN",
283,"articiòch","NOUN",
284,"artiräres","VERB",
285,"artocär","VERB",
286,"artzéla","NOUN","Di poco conto"
